标题,项目,用户,状态,截止,完成时间,URL
Task 103 2EfIRnUO,Project PRJ_99_FZP,user_145_J9jJO,待处理 / To Do,2026-01-11T09:23:47.741913+00:00,,
Task 104 99k8WUza,Project PRJ_125_YRS,user_839_OVetJ,待处理 / To Do,2026-01-07T09:23:47.741921+00:00,,
Task 105 dX8H2foW,Project PRJ_151_JNR,user_922_NL5kS,待处理 / To Do,2026-01-14T09:23:47.741928+00:00,,
Task 106 4cDlFiLC,Project PRJ_165_6KQ,user_269_AJSDa,待处理 / To Do,2026-01-08T09:23:47.741935+00:00,,
Task 107 tLeet3Bl,Project PRJ_7_ZL8,user_760_yjkmG,待处理 / To Do,2026-01-01T09:23:47.741943+00:00,,
Task 109 B6413qnR,Project PRJ_168_TTH,user_569_UWsls,待处理 / To Do,2026-01-16T09:23:47.741958+00:00,,
Task 110 SWuqRzby,Project PRJ_123_IEH,user_666_YS4x5,已完成 / Done,2026-01-11T09:23:47.741965+00:00,,
Task 111 MBcf5Lx1,Project PRJ_103_M7T,user_364_qUtdi,已完成 / Done,2026-01-22T09:23:47.741972+00:00,,
Task 112 9x0HxxMz,Project PRJ_155_JDO,user_302_60O0n,待处理 / To Do,2026-01-08T09:23:47.741980+00:00,,
Task 113 0DAHW4MX,Project PRJ_28_HAX,user_920_bB4Q9,待处理 / To Do,2026-01-07T09:23:47.741987+00:00,,
Task 116 0IXzvTMn,Project PRJ_191_8YM,user_76_u3nsc,待处理 / To Do,2026-01-24T09:23:47.742014+00:00,,
Task 117 rYpLJxhJ,Project PRJ_152_N4S,user_298_NTHLG,待处理 / To Do,2026-01-15T09:23:47.742022+00:00,,
Task 118 m3uNiIyv,Project PRJ_147_DEZ,user_915_sZIA0,待处理 / To Do,2026-01-20T09:23:47.742029+00:00,,
Task 120 10eJRPHG,Project PRJ_130_4CW,user_62_3WFoU,已完成 / Done,2026-01-01T09:23:47.742044+00:00,,
Task 121 b3frSdnw,Project PRJ_16_IZT,user_290_xdEjS,待处理 / To Do,2026-01-22T09:23:47.742051+00:00,,
Task 122 n5tRnxOh,Project PRJ_148_SUC,user_18_YaY1q,待处理 / To Do,2026-01-22T09:23:47.742058+00:00,,
Task 123 kx1PozXl,Project PRJ_104_YJV,user_5_0HaBw,待处理 / To Do,2026-01-16T09:23:47.742066+00:00,,
Task 124 K86QAjYC,Project PRJ_83_JB5,user_781_WbdNP,待处理 / To Do,2026-01-20T09:23:47.742074+00:00,,
Task 125 KnPeTX5z,Project PRJ_141_T4V,user_975_G2TcP,待处理 / To Do,2026-01-12T09:23:47.742081+00:00,,
Task 126 olg1sEMJ,Project PRJ_168_TTH,user_75_kfYSW,待处理 / To Do,2026-01-05T09:23:47.742089+00:00,,
Task 127 sDPBEet8,Project PRJ_106_ZUY,user_366_nhW07,已完成 / Done,2026-01-06T09:23:47.742097+00:00,,
Task 128 3ZpIIWH7,Project PRJ_16_IZT,user_162_xSgJu,待处理 / To Do,2026-01-14T09:23:47.742104+00:00,,
Task 129 ktRvnB68,Project PRJ_30_MSQ,user_138_cZ31W,已完成 / Done,2026-01-10T09:23:47.742111+00:00,,
Task 130 3fuiTaZq,Project PRJ_53_OPN,user_230_IGRgm,待处理 / To Do,2026-01-26T09:23:47.742119+00:00,,
Task 131 zQKpiwli,Project PRJ_139_5MM,user_153_pz8Y8,待处理 / To Do,2026-01-05T09:23:47.742126+00:00,,
Task 133 CdScQF69,Project PRJ_129_ZLN,user_51_qAg45,待处理 / To Do,2026-01-02T09:23:47.742141+00:00,,
Task 135 sTalk2jb,Project PRJ_195_THX,user_168_zPJWt,待处理 / To Do,2025-12-31T09:23:47.742156+00:00,,
Task 136 Jtakjqgf,Project PRJ_189_HPD,user_85_OOTiH,已完成 / Done,2026-01-16T09:23:47.742165+00:00,,
Task 137 IWbLR47j,Project PRJ_179_NCO,user_393_uPuPf,待处理 / To Do,2026-01-12T09:23:47.742172+00:00,,
Task 138 htE9zLHD,Project PRJ_8_QQD,user_232_BiDJZ,待处理 / To Do,2025-12-28T09:23:47.742180+00:00,,
Task 141 CmSFH2Go,Project PRJ_38_W0C,user_567_yxIFv,待处理 / To Do,2026-01-15T09:23:47.742202+00:00,,
Task 142 TlrgL5fw,Project PRJ_177_NVU,user_274_Ja9zz,已完成 / Done,2026-01-07T09:23:47.742211+00:00,,
Task 143 6lL9giQw,Project PRJ_184_TI9,user_672_OEbk4,待处理 / To Do,2026-01-17T09:23:47.742220+00:00,,
Task 144 cXyk0Yj1,Project PRJ_108_OQE,user_65_QZA6d,已完成 / Done,2026-01-17T09:23:47.742228+00:00,,
Task 146 a2b3hUwl,Project PRJ_168_TTH,user_57_98T5w,待处理 / To Do,2026-01-08T09:23:47.742243+00:00,,
Task 148 QOoY1cnl,Project PRJ_184_TI9,user_971_JoW8G,待处理 / To Do,2026-01-24T09:23:47.742259+00:00,,
Task 149 GjvkB7T0,Project PRJ_22_31K,user_156_db3Zu,待处理 / To Do,2026-01-18T09:23:47.742270+00:00,,
Task 150 K92j3tzr,Project PRJ_186_QFT,user_497_8kSbe,已完成 / Done,2026-01-03T09:23:47.742280+00:00,,
Task 151 CT09ip0A,Project PRJ_132_FXY,user_790_lTWzT,待处理 / To Do,2026-01-24T09:23:47.742291+00:00,,
Task 152 8ms2MNZL,Project PRJ_176_T4O,user_630_bkK7G,待处理 / To Do,2026-01-17T09:23:47.742303+00:00,,
Task 153 GYMnsy1B,Project PRJ_23_TZY,user_314_5JZNS,已完成 / Done,2026-01-14T09:23:47.742312+00:00,,
Task 154 d7wwnLgu,Project PRJ_4_NHA,user_327_5JJlj,待处理 / To Do,2026-01-16T09:23:47.742320+00:00,,
Task 155 IYDzPMuN,Project PRJ_28_HAX,user_971_JoW8G,待处理 / To Do,2026-01-21T09:23:47.742327+00:00,,
Task 156 Ji0OM960,Project PRJ_144_JTI,user_473_RhB2O,待处理 / To Do,2026-01-08T09:23:47.742334+00:00,,
Task 157 tEvPVSce,Project PRJ_133_22A,user_49_H99rg,已完成 / Done,2026-01-23T09:23:47.742347+00:00,,
Task 158 yf7kCyfv,Project PRJ_137_P7V,user_749_Tlj9H,待处理 / To Do,2026-01-08T09:23:47.742355+00:00,,
Task 159 xZdmmSOg,Project PRJ_192_AV2,user_410_pggwh,已完成 / Done,2025-12-31T09:23:47.742363+00:00,,
Task 161 9qHnTUdk,Project PRJ_143_QL6,user_96_mOqgQ,待处理 / To Do,2026-01-08T09:23:47.742379+00:00,,
Task 162 uXrU0cyX,Project PRJ_140_7MV,user_973_so4KO,待处理 / To Do,2026-01-04T09:23:47.742393+00:00,,
Task 163 zmB1gr2F,Project PRJ_111_HJT,user_764_cn51Y,待处理 / To Do,2026-01-03T09:23:47.742401+00:00,,
Task 164 ht7vWIMt,Project PRJ_186_QFT,user_606_Bshx4,待处理 / To Do,2026-01-18T09:23:47.742408+00:00,,
Task 165 TtUSxfFH,Project PRJ_144_JTI,user_650_Du9u1,待处理 / To Do,2026-01-23T09:23:47.742416+00:00,,
Task 166 rpK1mOHP,Project PRJ_181_F4G,user_97_wrsYW,已完成 / Done,2025-12-28T09:23:47.742423+00:00,,
Task 167 ieO5GL9T,Project PRJ_87_XV3,user_58_5KZnM,已完成 / Done,2026-01-08T09:23:47.742431+00:00,,
Task 168 BT8P1nWF,Project PRJ_3_YJD,user_934_79AmK,待处理 / To Do,2026-01-09T09:23:47.742438+00:00,,
Task 169 xTNolpYG,Project PRJ_143_QL6,user_912_h6IJf,待处理 / To Do,2026-01-14T09:23:47.742445+00:00,,
Task 171 EsSCD8L7,Project PRJ_197_C7K,user_375_Rg9de,待处理 / To Do,2026-01-21T09:23:47.742460+00:00,,
Task 172 cEhvL2Qu,Project PRJ_92_KYR,user_867_k0Qx1,待处理 / To Do,2026-01-19T09:23:47.742467+00:00,,
Task 173 P1wddXuO,Project PRJ_92_KYR,user_692_Cuari,待处理 / To Do,2026-01-12T09:23:47.742475+00:00,,
Task 174 sRSmnypG,Project PRJ_109_9LQ,user_739_V5cRI,待处理 / To Do,2026-01-28T09:23:47.742484+00:00,,
Task 175 ewjBiDfO,Project PRJ_48_OFT,user_466_9vmM6,待处理 / To Do,2026-01-04T09:23:47.742493+00:00,,
Task 177 JEdsL7VT,Project PRJ_82_YNP,user_991_qmHqO,待处理 / To Do,2025-12-27T09:23:47.742508+00:00,,
Task 178 DRd6AfYD,Project PRJ_158_NKV,user_31_gAnqd,待处理 / To Do,2026-01-27T09:23:47.742516+00:00,,
Task 179 WLKtWZzL,Project PRJ_159_MZ5,user_968_avbHJ,待处理 / To Do,2026-01-11T09:23:47.742523+00:00,,
Task 180 gtzaA9i8,Project PRJ_157_3W9,user_472_7GuBz,进行中 / In Progress,2026-01-25T09:23:47.742530+00:00,,
Task 181 L7PlD4y3,Project PRJ_7_ZL8,user_81_lUUqX,待处理 / To Do,2025-12-28T09:23:47.742537+00:00,,
Task 182 fqwN5QJG,Project PRJ_74_QNH,user_832_BdND8,待处理 / To Do,2026-01-22T09:23:47.742544+00:00,,
Task 186 8EXqlYzE,Project PRJ_62_9XT,user_712_ibBOK,待处理 / To Do,2026-01-08T09:23:47.742574+00:00,,
Task 187 VZ3D3xRW,Project PRJ_72_B2E,user_431_dX4JE,待处理 / To Do,2026-01-18T09:23:47.742581+00:00,,
Task 188 rNnRzD62,Project PRJ_121_DJC,user_346_kMr8V,已完成 / Done,2026-01-02T09:23:47.742590+00:00,,
Task 189 Fx9hbXFp,Project PRJ_43_7V9,user_15_vF966,待处理 / To Do,2026-01-20T09:23:47.742598+00:00,,
Task 190 EKXlO01H,Project PRJ_161_9RN,user_735_RHb98,待处理 / To Do,2026-01-21T09:23:47.742605+00:00,,
Task 191 KEXyq94B,Project PRJ_122_FJH,user_522_hWAPA,待处理 / To Do,2026-01-24T09:23:47.742613+00:00,,
Task 192 cbPNCa7f,Project PRJ_25_XDR,user_68_6K3Kd,待处理 / To Do,2026-01-22T09:23:47.742620+00:00,,
Task 193 8MvYdVnh,Project PRJ_90_I9M,user_406_ZW4Lc,待处理 / To Do,2025-12-29T09:23:47.742627+00:00,,
Task 195 erUSAKYd,Project PRJ_132_FXY,user_20_0XL38,待处理 / To Do,2026-01-08T09:23:47.742642+00:00,,
Task 196 4IxB8UNp,Project PRJ_47_JW4,user_919_teXeS,待处理 / To Do,2026-01-16T09:23:47.742650+00:00,,
Task 197 v55VrERl,Project PRJ_160_HGY,user_567_yxIFv,待处理 / To Do,2025-12-28T09:23:47.742657+00:00,,
Task 198 vj05jb9a,Project PRJ_2_E8Z,user_346_kMr8V,待处理 / To Do,2026-01-20T09:23:47.742664+00:00,,
Task 199 z5FKkut6,Project PRJ_76_NK7,user_486_NGEMb,待处理 / To Do,2026-01-22T09:23:47.742671+00:00,,
Task 200 kWPyt4Pu,Project PRJ_109_9LQ,user_13_0Neu2,已完成 / Done,2026-01-12T09:23:47.742679+00:00,,
Task 201 jFPKGEVJ,Project PRJ_121_DJC,user_258_lHjxf,待处理 / To Do,2026-01-09T09:23:47.742687+00:00,,
Task 202 H2ujM63r,Project PRJ_158_NKV,user_930_IAnnD,已完成 / Done,2026-01-09T09:23:47.742694+00:00,,
Task 203 Xog0KJvk,Project PRJ_171_FV6,user_659_UaVNK,待处理 / To Do,2026-01-01T09:23:47.742702+00:00,,
Task 204 pkmgSm2z,Project PRJ_106_ZUY,user_421_3dL9l,待处理 / To Do,2026-01-05T09:23:47.742709+00:00,,
Task 205 lQkZ51h2,Project PRJ_111_HJT,user_423_lvopY,待处理 / To Do,2026-01-21T09:23:47.742716+00:00,,
Task 206 i7Xp9E7o,Project PRJ_22_31K,user_391_XYne8,已完成 / Done,2026-01-06T09:23:47.742723+00:00,,
Task 207 s5Nfpwm5,Project PRJ_114_FI0,user_119_pWFCw,待处理 / To Do,2026-01-21T09:23:47.742731+00:00,,
Task 208 azq74ads,Project PRJ_66_9OF,user_942_qwDQh,进行中 / In Progress,2026-01-25T09:23:47.742738+00:00,,
Task 209 DbB6Jh8p,Project PRJ_157_3W9,user_31_gAnqd,待处理 / To Do,2026-01-22T09:23:47.742746+00:00,,
Task 210 t424o8VB,Project PRJ_161_9RN,user_950_mhZCS,待处理 / To Do,2026-01-25T09:23:47.742753+00:00,,
Task 213 MSSFpcxZ,Project PRJ_4_NHA,user_434_MS80p,待处理 / To Do,2026-01-01T09:23:47.742775+00:00,,
Task 214 scdE1SbS,Project PRJ_153_ZIU,user_501_Poh1C,待处理 / To Do,2026-01-08T09:23:47.742783+00:00,,
Task 215 cUegupPr,Project PRJ_6_NXT,user_753_Df6d8,待处理 / To Do,2026-01-15T09:23:47.742791+00:00,,
Task 216 oFF21FU1,Project PRJ_73_IBI,user_554_pTGQA,待处理 / To Do,2026-01-12T09:23:47.742799+00:00,,
Task 217 LMPQxrcs,Project PRJ_4_NHA,user_167_c5Ktc,待处理 / To Do,2026-01-15T09:23:47.742807+00:00,,
Task 218 4cUQIOKw,Project PRJ_116_VVB,user_665_fWrgB,待处理 / To Do,2026-01-20T09:23:47.742814+00:00,,
Task 219 PZaF3LFO,Project PRJ_131_WQZ,user_293_8fIbA,待处理 / To Do,2026-01-21T09:23:47.742821+00:00,,
Task 220 xPXuDEMX,Project PRJ_70_USE,user_882_0hY7M,待处理 / To Do,2026-01-16T09:23:47.742829+00:00,,
Task 223 9ZKWeDfC,Project PRJ_95_L1G,user_125_zUGgy,待处理 / To Do,2026-01-23T09:23:47.742851+00:00,,
Task 224 Tovw3uh5,Project PRJ_155_JDO,user_986_BjNhX,待处理 / To Do,2026-01-15T09:23:47.742859+00:00,,
Task 225 YW8NJCAp,Project PRJ_134_YNF,user_13_0Neu2,待处理 / To Do,2025-12-28T09:23:47.742866+00:00,,
Task 226 8s55uK92,Project PRJ_115_8NB,user_329_uvRK5,待处理 / To Do,2026-01-02T09:23:47.742875+00:00,,
Task 227 qnDNbH2v,Project PRJ_188_94L,user_98_tbV2a,待处理 / To Do,2026-01-08T09:23:47.742884+00:00,,
Task 228 91yjyxcC,Project PRJ_192_AV2,user_847_lH7AV,待处理 / To Do,2025-12-31T09:23:47.742892+00:00,,
Task 229 8kPPd43j,Project PRJ_149_R4D,user_887_cddq4,待处理 / To Do,2026-01-04T09:23:47.742899+00:00,,
Task 230 cKbOBs5L,Project PRJ_39_6GG,user_881_7WRwV,进行中 / In Progress,2026-01-28T09:23:47.742907+00:00,,
Task 231 kAzvYsSm,Project PRJ_73_IBI,user_653_7uD5Z,待处理 / To Do,2026-01-06T09:23:47.742914+00:00,,
Task 232 ev5qGemh,Project PRJ_45_NCV,user_425_x8cp4,待处理 / To Do,2026-01-06T09:23:47.742922+00:00,,
Task 233 8QYBsdvO,Project PRJ_129_ZLN,user_377_StxeY,待处理 / To Do,2026-01-24T09:23:47.742930+00:00,,
Task 234 39Nw5nKe,Project PRJ_51_QL6,user_432_fClRm,待处理 / To Do,2026-01-03T09:23:47.742938+00:00,,
Task 235 uZ9r31R6,Project PRJ_121_DJC,user_834_mNngZ,待处理 / To Do,2026-01-26T09:23:47.742945+00:00,,
Task 237 0Bue45NU,Project PRJ_47_JW4,user_989_Y2dIF,待处理 / To Do,2026-01-16T09:23:47.742960+00:00,,
Task 238 Lv6iyWQg,Project PRJ_160_HGY,user_671_hImfG,待处理 / To Do,2026-01-14T09:23:47.742969+00:00,,
Task 240 XLowv21Q,Project PRJ_195_THX,user_426_Qs82M,阻塞中 / Blocked,2026-01-25T09:23:47.742985+00:00,,
