ID,标题,项目,负责人,协作人,状态,优先级,截止时间,完成时间,创建时间,URL,内容
58,Task 57 84dblrFU,Project PRJ_185_HL1,user_531_PaXBV,,待处理 / To Do,中 / Medium,2026-01-23 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
59,Task 58 pm6c95hf,Project PRJ_57_CU7,user_908_tX6JE,,待处理 / To Do,中 / Medium,2026-01-10 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
61,Task 60 gyrX5ShR,Project PRJ_185_HL1,user_842_C2zjO,,待处理 / To Do,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
62,Task 61 Y47yhNmR,Project PRJ_17_WC7,user_123_GeMaP,,待处理 / To Do,中 / Medium,2025-12-31 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
64,Task 63 hGUe5lLQ,Project PRJ_109_9LQ,user_81_lUUqX,,待处理 / To Do,中 / Medium,2025-12-27 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
65,Task 64 d5vBACXv,Project PRJ_115_8NB,user_375_Rg9de,,待处理 / To Do,中 / Medium,2025-12-27 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
66,Task 65 fgSS8mam,Project PRJ_20_NGL,user_524_oVVHe,,待处理 / To Do,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
67,Task 66 Js6tXV01,Project PRJ_184_TI9,user_209_6L7IK,,阻塞中 / Blocked,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
68,Task 67 eW46Soc8,Project PRJ_143_QL6,user_703_syTWr,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
69,Task 68 6Ses9DJD,Project PRJ_128_05J,user_551_p88Ej,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
70,Task 69 gtina8Be,Project PRJ_117_FBU,user_255_MNWS6,,待处理 / To Do,中 / Medium,2026-01-09 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
71,Task 70 4gRFwZk4,Project PRJ_25_XDR,user_442_AMdiw,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
73,Task 72 cXopsHcj,Project PRJ_100_ECJ,user_531_PaXBV,,待处理 / To Do,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
74,Task 73 JJcm2Egg,Project PRJ_37_W9S,user_957_QwhGN,,待处理 / To Do,中 / Medium,2026-01-10 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
75,Task 74 ImHZ861T,Project PRJ_88_5S0,user_698_poEYD,,待处理 / To Do,中 / Medium,2026-01-23 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
76,Task 75 yKjzugp1,Project PRJ_4_NHA,user_364_qUtdi,,待处理 / To Do,中 / Medium,2026-01-05 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
77,Task 76 etP0WvYM,Project PRJ_76_NK7,user_273_F8QNd,,待处理 / To Do,中 / Medium,2026-01-06 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
78,Task 77 eGnI3Bfd,Project PRJ_0_9CW,user_699_au4FC,,待处理 / To Do,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
79,Task 78 1TRBJ27h,Project PRJ_56_GF4,user_597_EKiNi,,待处理 / To Do,中 / Medium,2026-01-11 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
81,Task 80 ASfWA7MB,Project PRJ_144_JTI,user_244_SL29e,,待处理 / To Do,中 / Medium,2026-01-03 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
82,Task 81 HKx1OzTg,Project PRJ_53_OPN,user_743_hZJLA,,待处理 / To Do,中 / Medium,2025-12-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
83,Task 82 0DIudizn,Project PRJ_20_NGL,user_690_tEcf3,,待处理 / To Do,中 / Medium,2026-01-06 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
84,Task 83 3GnQTlzE,Project PRJ_169_MJY,user_958_rryAG,,待处理 / To Do,中 / Medium,2026-01-15 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
85,Task 84 FjqbEhPK,Project PRJ_181_F4G,user_148_vf49t,,待处理 / To Do,中 / Medium,2026-01-18 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
86,Task 85 eKumj85w,Project PRJ_79_IHT,user_301_4xD74,,已完成 / Done,中 / Medium,2026-01-13 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
87,Task 86 ZpDF86Xn,Project PRJ_90_I9M,user_322_huLGG,,待处理 / To Do,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
88,Task 87 yO3FSMec,Project PRJ_60_YMQ,user_555_FHlra,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
89,Task 88 q2OKYNpf,Project PRJ_74_QNH,user_631_3xT4k,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
90,Task 89 AFW0uJcU,Project PRJ_103_M7T,user_379_AalX0,,已完成 / Done,中 / Medium,2026-01-10 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
91,Task 90 u5Eq2VpJ,Project PRJ_25_XDR,user_389_mGXI6,,待处理 / To Do,中 / Medium,2026-01-19 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
92,Task 91 JPf1CFY0,Project PRJ_38_W0C,user_630_bkK7G,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
93,Task 92 mXSuPUb4,Project PRJ_16_IZT,user_611_YpYiS,,待处理 / To Do,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
94,Task 93 FnvLButj,Project PRJ_106_ZUY,user_975_G2TcP,,待处理 / To Do,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
95,Task 94 W4X1zITd,Project PRJ_166_IFT,user_825_5wzDw,,待处理 / To Do,中 / Medium,2026-01-18 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
96,Task 95 S7oSWAPm,Project PRJ_152_N4S,user_246_ZuOZ6,,待处理 / To Do,中 / Medium,2026-01-13 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
97,Task 96 PjV4mtkp,Project PRJ_167_IUJ,user_934_79AmK,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
98,Task 97 Imt2crJ3,Project PRJ_148_SUC,user_549_iVWQy,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
99,Task 98 VBJvWyc2,Project PRJ_24_4Z0,user_623_PtZZy,,待处理 / To Do,中 / Medium,2026-01-05 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
100,Task 99 D7AcHRyC,Project PRJ_128_05J,user_262_nEEpU,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
101,Task 100 sVWJWUia,Project PRJ_111_HJT,user_995_swNWt,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
102,Task 101 vFWgSdiv,Project PRJ_70_USE,user_616_RMzVW,,待处理 / To Do,中 / Medium,2026-01-18 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
103,Task 102 VFcG6OCB,Project PRJ_125_YRS,user_663_DWcrQ,,已完成 / Done,中 / Medium,2026-01-19 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
104,Task 103 2EfIRnUO,Project PRJ_99_FZP,user_145_J9jJO,,待处理 / To Do,中 / Medium,2026-01-11 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
105,Task 104 99k8WUza,Project PRJ_125_YRS,user_839_OVetJ,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
106,Task 105 dX8H2foW,Project PRJ_151_JNR,user_922_NL5kS,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
107,Task 106 4cDlFiLC,Project PRJ_165_6KQ,user_269_AJSDa,,待处理 / To Do,中 / Medium,2026-01-08 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
108,Task 107 tLeet3Bl,Project PRJ_7_ZL8,user_760_yjkmG,,待处理 / To Do,中 / Medium,2026-01-01 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
110,Task 109 B6413qnR,Project PRJ_168_TTH,user_569_UWsls,,待处理 / To Do,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
111,Task 110 SWuqRzby,Project PRJ_123_IEH,user_666_YS4x5,,已完成 / Done,中 / Medium,2026-01-11 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
112,Task 111 MBcf5Lx1,Project PRJ_103_M7T,user_364_qUtdi,,已完成 / Done,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
113,Task 112 9x0HxxMz,Project PRJ_155_JDO,user_302_60O0n,,待处理 / To Do,中 / Medium,2026-01-08 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
114,Task 113 0DAHW4MX,Project PRJ_28_HAX,user_920_bB4Q9,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
117,Task 116 0IXzvTMn,Project PRJ_191_8YM,user_76_u3nsc,,待处理 / To Do,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
118,Task 117 rYpLJxhJ,Project PRJ_152_N4S,user_298_NTHLG,,待处理 / To Do,中 / Medium,2026-01-15 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
119,Task 118 m3uNiIyv,Project PRJ_147_DEZ,user_915_sZIA0,,待处理 / To Do,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
121,Task 120 10eJRPHG,Project PRJ_130_4CW,user_62_3WFoU,,已完成 / Done,中 / Medium,2026-01-01 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
122,Task 121 b3frSdnw,Project PRJ_16_IZT,user_290_xdEjS,,待处理 / To Do,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
123,Task 122 n5tRnxOh,Project PRJ_148_SUC,user_18_YaY1q,,待处理 / To Do,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
124,Task 123 kx1PozXl,Project PRJ_104_YJV,user_5_0HaBw,,待处理 / To Do,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
125,Task 124 K86QAjYC,Project PRJ_83_JB5,user_781_WbdNP,,待处理 / To Do,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
126,Task 125 KnPeTX5z,Project PRJ_141_T4V,user_975_G2TcP,,待处理 / To Do,中 / Medium,2026-01-12 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
127,Task 126 olg1sEMJ,Project PRJ_168_TTH,user_75_kfYSW,,待处理 / To Do,中 / Medium,2026-01-05 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
128,Task 127 sDPBEet8,Project PRJ_106_ZUY,user_366_nhW07,,已完成 / Done,中 / Medium,2026-01-06 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
129,Task 128 3ZpIIWH7,Project PRJ_16_IZT,user_162_xSgJu,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
130,Task 129 ktRvnB68,Project PRJ_30_MSQ,user_138_cZ31W,,已完成 / Done,中 / Medium,2026-01-10 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
131,Task 130 3fuiTaZq,Project PRJ_53_OPN,user_230_IGRgm,,待处理 / To Do,中 / Medium,2026-01-26 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
132,Task 131 zQKpiwli,Project PRJ_139_5MM,user_153_pz8Y8,,待处理 / To Do,中 / Medium,2026-01-05 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
134,Task 133 CdScQF69,Project PRJ_129_ZLN,user_51_qAg45,,待处理 / To Do,中 / Medium,2026-01-02 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
136,Task 135 sTalk2jb,Project PRJ_195_THX,user_168_zPJWt,,待处理 / To Do,中 / Medium,2025-12-31 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
137,Task 136 Jtakjqgf,Project PRJ_189_HPD,user_85_OOTiH,,已完成 / Done,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
138,Task 137 IWbLR47j,Project PRJ_179_NCO,user_393_uPuPf,,待处理 / To Do,中 / Medium,2026-01-12 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
139,Task 138 htE9zLHD,Project PRJ_8_QQD,user_232_BiDJZ,,待处理 / To Do,中 / Medium,2025-12-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
142,Task 141 CmSFH2Go,Project PRJ_38_W0C,user_567_yxIFv,,待处理 / To Do,中 / Medium,2026-01-15 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
143,Task 142 TlrgL5fw,Project PRJ_177_NVU,user_274_Ja9zz,,已完成 / Done,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
144,Task 143 6lL9giQw,Project PRJ_184_TI9,user_672_OEbk4,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
145,Task 144 cXyk0Yj1,Project PRJ_108_OQE,user_65_QZA6d,,已完成 / Done,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
147,Task 146 a2b3hUwl,Project PRJ_168_TTH,user_57_98T5w,,待处理 / To Do,中 / Medium,2026-01-08 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
149,Task 148 QOoY1cnl,Project PRJ_184_TI9,user_971_JoW8G,,待处理 / To Do,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
150,Task 149 GjvkB7T0,Project PRJ_22_31K,user_156_db3Zu,,待处理 / To Do,中 / Medium,2026-01-18 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
151,Task 150 K92j3tzr,Project PRJ_186_QFT,user_497_8kSbe,,已完成 / Done,中 / Medium,2026-01-03 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
152,Task 151 CT09ip0A,Project PRJ_132_FXY,user_790_lTWzT,,待处理 / To Do,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
153,Task 152 8ms2MNZL,Project PRJ_176_T4O,user_630_bkK7G,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
154,Task 153 GYMnsy1B,Project PRJ_23_TZY,user_314_5JZNS,,已完成 / Done,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
155,Task 154 d7wwnLgu,Project PRJ_4_NHA,user_327_5JJlj,,待处理 / To Do,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
156,Task 155 IYDzPMuN,Project PRJ_28_HAX,user_971_JoW8G,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
157,Task 156 Ji0OM960,Project PRJ_144_JTI,user_473_RhB2O,,待处理 / To Do,中 / Medium,2026-01-08 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
158,Task 157 tEvPVSce,Project PRJ_133_22A,user_49_H99rg,,已完成 / Done,中 / Medium,2026-01-23 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
159,Task 158 yf7kCyfv,Project PRJ_137_P7V,user_749_Tlj9H,,待处理 / To Do,中 / Medium,2026-01-08 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
160,Task 159 xZdmmSOg,Project PRJ_192_AV2,user_410_pggwh,,已完成 / Done,中 / Medium,2025-12-31 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
162,Task 161 9qHnTUdk,Project PRJ_143_QL6,user_96_mOqgQ,,待处理 / To Do,中 / Medium,2026-01-08 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
163,Task 162 uXrU0cyX,Project PRJ_140_7MV,user_973_so4KO,,待处理 / To Do,中 / Medium,2026-01-04 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
164,Task 163 zmB1gr2F,Project PRJ_111_HJT,user_764_cn51Y,,待处理 / To Do,中 / Medium,2026-01-03 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
165,Task 164 ht7vWIMt,Project PRJ_186_QFT,user_606_Bshx4,,待处理 / To Do,中 / Medium,2026-01-18 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
166,Task 165 TtUSxfFH,Project PRJ_144_JTI,user_650_Du9u1,,待处理 / To Do,中 / Medium,2026-01-23 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
167,Task 166 rpK1mOHP,Project PRJ_181_F4G,user_97_wrsYW,,已完成 / Done,中 / Medium,2025-12-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
168,Task 167 ieO5GL9T,Project PRJ_87_XV3,user_58_5KZnM,,已完成 / Done,中 / Medium,2026-01-08 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
169,Task 168 BT8P1nWF,Project PRJ_3_YJD,user_934_79AmK,,待处理 / To Do,中 / Medium,2026-01-09 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
170,Task 169 xTNolpYG,Project PRJ_143_QL6,user_912_h6IJf,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
172,Task 171 EsSCD8L7,Project PRJ_197_C7K,user_375_Rg9de,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
173,Task 172 cEhvL2Qu,Project PRJ_92_KYR,user_867_k0Qx1,,待处理 / To Do,中 / Medium,2026-01-19 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
174,Task 173 P1wddXuO,Project PRJ_92_KYR,user_692_Cuari,,待处理 / To Do,中 / Medium,2026-01-12 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
