ID,标题,项目,负责人,协作人,状态,优先级,截止时间,完成时间,创建时间,URL,内容
613,Task 612 LBd0IaF6,Project PRJ_5_8YD,user_297_ZsFPG,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
632,Task 631 Xo5wYwhs,Project PRJ_169_MJY,user_983_ksa5W,,进行中 / In Progress,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
647,Task 646 2HllbcI1,Project PRJ_188_94L,user_244_SL29e,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
719,Task 718 0GOyWESy,Project PRJ_52_NLX,user_898_pxRwk,,进行中 / In Progress,中 / Medium,2026-01-31 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
779,Task 778 fQdfagyb,Project PRJ_190_EII,user_170_A7H77,,进行中 / In Progress,中 / Medium,2026-01-31 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
793,Task 792 PWw1wBJb,Project PRJ_114_FI0,user_167_c5Ktc,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
798,Task 797 a5FxQZmo,Project PRJ_165_6KQ,user_995_swNWt,,进行中 / In Progress,中 / Medium,2026-02-02 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
822,Task 821 J72yiTC8,Project PRJ_163_LFK,user_93_rkU5t,,进行中 / In Progress,中 / Medium,2026-02-01 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
823,Task 822 ozwwWh3d,Project PRJ_154_E4E,user_912_h6IJf,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
850,Task 849 pD1KIGXc,Project PRJ_136_DBX,user_809_9m499,,进行中 / In Progress,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
854,Task 853 rPJkfoND,Project PRJ_9_EIY,user_6_BzyTn,,进行中 / In Progress,中 / Medium,2026-01-31 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
858,Task 857 KujUw1xY,Project PRJ_151_JNR,user_432_fClRm,,进行中 / In Progress,中 / Medium,2026-02-01 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
859,Task 858 EgOHntQK,Project PRJ_136_DBX,user_361_0BDWD,,进行中 / In Progress,中 / Medium,2026-01-26 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
867,Task 866 6pkKNhmb,Project PRJ_133_22A,user_238_e7BXQ,,进行中 / In Progress,中 / Medium,2026-01-29 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
875,Task 874 WH9VaFwv,Project PRJ_177_NVU,user_613_ztzLt,,进行中 / In Progress,中 / Medium,2026-01-27 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
889,Task 888 wSgMdCr3,Project PRJ_23_TZY,user_451_hJe6j,,进行中 / In Progress,中 / Medium,2026-02-01 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
895,Task 894 PLc7HUNg,Project PRJ_14_7K9,user_441_2nhvb,,进行中 / In Progress,中 / Medium,2026-01-29 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1005,Task 1004 WsftzLhC,Project PRJ_175_NJK,user_610_dUMYc,,进行中 / In Progress,中 / Medium,2026-01-31 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1077,Task 1076 LGuSNjMU,Project PRJ_87_XV3,user_782_3oE9M,,进行中 / In Progress,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1108,Task 1107 brHQ5PQO,Project PRJ_24_4Z0,user_575_fiQ3s,,进行中 / In Progress,中 / Medium,2026-01-29 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1188,Task 1187 7B8wchKF,Project PRJ_116_VVB,user_117_dPkty,,进行中 / In Progress,中 / Medium,2026-01-30 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1224,Task 1223 hjR6OLrA,Project PRJ_69_MXR,user_866_a6lHj,,进行中 / In Progress,中 / Medium,2026-02-03 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1251,Task 1250 TPtiDPCb,Project PRJ_73_IBI,user_867_k0Qx1,,进行中 / In Progress,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1415,Task 1414 LmEIOT1r,Project PRJ_76_NK7,user_885_rjTJ0,,进行中 / In Progress,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1448,Task 1447 cUZovsHz,Project PRJ_83_JB5,user_452_0Guvg,,进行中 / In Progress,中 / Medium,2026-01-27 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1451,Task 1450 QNzkI432,Project PRJ_86_KVK,user_408_TgHkW,,进行中 / In Progress,中 / Medium,2026-01-26 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1454,Task 1453 GzQ5BMq0,Project PRJ_130_4CW,user_855_fyI87,,进行中 / In Progress,中 / Medium,2026-02-04 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1456,Task 1455 920qkIe5,Project PRJ_127_AFE,user_710_RMiFe,,进行中 / In Progress,中 / Medium,2026-01-26 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1471,Task 1470 E9c2zO6o,Project PRJ_151_JNR,user_599_KJn4V,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1493,Task 1492 xn0CuIOH,Project PRJ_113_ZK8,user_655_a4TOf,,进行中 / In Progress,中 / Medium,2026-01-31 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1508,Task 1507 XPVeS3X5,Project PRJ_118_UFN,user_159_A4MWY,,进行中 / In Progress,中 / Medium,2026-02-03 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1527,Task 1526 f7M61q6J,Project PRJ_16_IZT,user_951_mPgDD,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1563,Task 1562 GEkK2IJy,Project PRJ_180_MBQ,user_497_8kSbe,,进行中 / In Progress,中 / Medium,2026-01-30 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1632,Task 1631 VEwuC7Uy,Project PRJ_76_NK7,user_763_q1boB,,进行中 / In Progress,中 / Medium,2026-01-27 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1635,Task 1634 EYgTH8N6,Project PRJ_17_WC7,user_299_7NaAp,,进行中 / In Progress,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1644,Task 1643 W3zIiizl,Project PRJ_90_I9M,user_455_jng3m,,进行中 / In Progress,中 / Medium,2026-01-29 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1662,Task 1661 tb6cPs9P,Project PRJ_173_US2,user_849_R8gqO,,进行中 / In Progress,中 / Medium,2026-02-03 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1679,Task 1678 lA80cJsQ,Project PRJ_174_VYL,user_724_ezhv2,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1688,Task 1687 uS08ezCq,Project PRJ_143_QL6,user_778_0r78c,,进行中 / In Progress,中 / Medium,2026-01-29 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1727,Task 1726 47KWKmGQ,Project PRJ_23_TZY,user_600_qpKDn,,进行中 / In Progress,中 / Medium,2026-01-27 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1747,Task 1746 JCbyZqpr,Project PRJ_30_MSQ,user_727_xWPyW,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1768,Task 1767 hB2gwXIS,项目一 6666,user_683_oTCvs,,进行中 / In Progress,中 / Medium,2026-02-06 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1799,Task 1798 Lf3laFRq,Project PRJ_21_SIH,user_939_GmC5o,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1836,Task 1835 DGIzsJZK,Project PRJ_7_ZL8,user_480_Y2qdF,,进行中 / In Progress,中 / Medium,2026-01-31 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1893,Task 1892 FmhuckOP,Project PRJ_179_NCO,user_932_qN3Wp,,进行中 / In Progress,中 / Medium,2026-02-01 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1956,Task 1955 iwz0HklG,Project PRJ_167_IUJ,user_935_WJG6E,,进行中 / In Progress,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1966,Task 1965 ajzzg9Kt,Project PRJ_93_K6A,user_501_Poh1C,,进行中 / In Progress,中 / Medium,2026-01-30 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
1985,Task 1984 LjZtyU3A,Project PRJ_164_Z2W,user_923_y5R4V,,进行中 / In Progress,中 / Medium,2026-01-27 09:23:47,,2026-01-28 01:03:57,,Auto generated task content.
2005,今天的任务,Project PRJ_151_JNR,user_103_rrKe0,,进行中 / In Progress,中 / Medium,2026-01-31 10:43:00,,2026-01-28 01:03:57,https://www.baidu.com/,今天的任务今天的任务今天的任务今天的任务今天的任务今天的任务今天的任务今天的任务今天的任务今天的任务今天的任务今天的任务今天的任务
